year,period,value
2001,M01,3.8
2001,M02,3.7
2001,M03,3.5
2001,M04,3.4
2001,M05,3.2
2001,M06,3.2
2001,M07,3.3
2001,M08,3.0
2001,M09,3.0
2001,M10,2.7
2001,M11,2.8
2001,M12,2.7
2002,M01,2.7
2002,M02,2.6
2002,M03,2.7
2002,M04,2.6
2002,M05,2.6
2002,M06,2.5
2002,M07,2.5
2002,M08,2.6
2002,M09,2.5
2002,M10,2.6
2002,M11,2.6
2002,M12,2.4
2003,M01,2.6
2003,M02,2.4
2003,M03,2.3
2003,M04,2.3
2003,M05,2.5
2003,M06,2.5
2003,M07,2.2
2003,M08,2.4
2003,M09,2.3
2003,M10,2.5
2003,M11,2.5
2003,M12,2.5
2004,M01,2.6
2004,M02,2.6
2004,M03,2.6
2004,M04,2.6
2004,M05,2.7
2004,M06,2.5
2004,M07,2.8
2004,M08,2.6
2004,M09,2.8
2004,M10,2.9
2004,M11,2.6
2004,M12,3.0
2005,M01,2.8
2005,M02,2.9
2005,M03,2.9
2005,M04,3.0
2005,M05,2.8
2005,M06,2.9
2005,M07,3.1
2005,M08,3.0
2005,M09,3.1
2005,M10,3.0
2005,M11,3.1
2005,M12,3.1
2006,M01,3.1
2006,M02,3.1
2006,M03,3.4
2006,M04,3.4
2006,M05,3.2
2006,M06,3.3
2006,M07,3.1
2006,M08,3.3
2006,M09,3.3
2006,M10,3.2
2006,M11,3.3
2006,M12,3.3
2007,M01,3.3
2007,M02,3.3
2007,M03,3.5
2007,M04,3.3
2007,M05,3.3
2007,M06,3.4
2007,M07,3.2
2007,M08,3.2
2007,M09,3.3
2007,M10,3.2
2007,M11,3.3
2007,M12,3.2
2008,M01,3.2
2008,M02,3.0
2008,M03,3.0
2008,M04,2.8
2008,M05,3.0
2008,M06,2.7
2008,M07,2.7
2008,M08,2.6
2008,M09,2.3
2008,M10,2.4
2008,M11,2.3
2008,M12,2.3
2009,M01,2.0
2009,M02,2.1
2009,M03,1.9
2009,M04,1.7
2009,M05,1.9
2009,M06,1.9
2009,M07,1.7
2009,M08,1.8
2009,M09,1.9
2009,M10,1.8
2009,M11,1.9
2009,M12,1.9
2010,M01,2.1
2010,M02,2.0
2010,M03,2.0
2010,M04,2.4
2010,M05,2.2
2010,M06,2.1
2010,M07,2.3
2010,M08,2.2
2010,M09,2.2
2010,M10,2.4
2010,M11,2.4
2010,M12,2.3
2011,M01,2.3
2011,M02,2.4
2011,M03,2.4
2011,M04,2.4
2011,M05,2.4
2011,M06,2.6
2011,M07,2.7
2011,M08,2.5
2011,M09,2.8
2011,M10,2.7
2011,M11,2.6
2011,M12,2.8
2012,M01,2.8
2012,M02,2.6
2012,M03,2.9
2012,M04,2.8
2012,M05,2.8
2012,M06,2.8
2012,M07,2.7
2012,M08,2.8
2012,M09,2.8
2012,M10,2.7
2012,M11,2.8
2012,M12,2.9
2013,M01,2.8
2013,M02,2.9
2013,M03,2.9
2013,M04,2.9
2013,M05,3.0
2013,M06,3.0
2013,M07,2.8
2013,M08,2.9
2013,M09,2.9
2013,M10,3.0
2013,M11,2.9
2013,M12,2.9
2014,M01,2.9
